id,gender,age,mask,class,path
1,female,19,mask,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask1.jpg
2,female,19,incorrect,9,/opt/ml/input/data/train/images/003013_female_Asian_19/incorrect_mask.jpg
3,female,19,mask,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask3.jpg
4,female,19,mask,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask5.jpg
5,female,19,mask,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask2.jpg
6,female,19,normal,15,/opt/ml/input/data/train/images/003013_female_Asian_19/normal.jpg
7,female,19,mask,3,/opt/ml/input/data/train/images/003013_female_Asian_19/mask4.jpg
8,female,20,mask,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask1.jpg
9,female,20,incorrect,9,/opt/ml/input/data/train/images/003234_female_Asian_20/incorrect_mask.jpg
10,female,20,mask,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask3.jpg
11,female,20,mask,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask5.jpg
12,female,20,mask,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask2.jpg
13,female,20,normal,15,/opt/ml/input/data/train/images/003234_female_Asian_20/normal.jpg
14,female,20,mask,3,/opt/ml/input/data/train/images/003234_female_Asian_20/mask4.jpg
15,male,19,mask,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask1.jpg
16,male,19,incorrect,6,/opt/ml/input/data/train/images/004204_male_Asian_19/incorrect_mask.jpg
17,male,19,mask,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask3.jpg
18,male,19,mask,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask5.jpg
19,male,19,mask,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask2.jpg
20,male,19,normal,12,/opt/ml/input/data/train/images/004204_male_Asian_19/normal.jpg
21,male,19,mask,0,/opt/ml/input/data/train/images/004204_male_Asian_19/mask4.jpg
22,female,20,mask,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask1.jpg
23,female,20,incorrect,9,/opt/ml/input/data/train/images/003303_female_Asian_20/incorrect_mask.jpg
24,female,20,mask,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask3.jpg
25,female,20,mask,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask5.jpg
26,female,20,mask,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask2.jpg
27,female,20,normal,15,/opt/ml/input/data/train/images/003303_female_Asian_20/normal.jpg
28,female,20,mask,3,/opt/ml/input/data/train/images/003303_female_Asian_20/mask4.jpg
29,male,21,mask,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask1.jpg
30,male,21,incorrect,6,/opt/ml/input/data/train/images/005531_male_Asian_21/incorrect_mask.jpg
31,male,21,mask,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask3.jpg
32,male,21,mask,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask5.jpg
33,male,21,mask,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask2.jpg
34,male,21,normal,12,/opt/ml/input/data/train/images/005531_male_Asian_21/normal.jpg
35,male,21,mask,0,/opt/ml/input/data/train/images/005531_male_Asian_21/mask4.jpg
36,female,20,mask,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask1.jpg
37,female,20,incorrect,9,/opt/ml/input/data/train/images/003051_female_Asian_20/incorrect_mask.jpg
38,female,20,mask,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask3.jpg
39,female,20,mask,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask5.jpg
40,female,20,mask,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask2.jpg
41,female,20,normal,15,/opt/ml/input/data/train/images/003051_female_Asian_20/normal.jpg
42,female,20,mask,3,/opt/ml/input/data/train/images/003051_female_Asian_20/mask4.jpg
43,female,54,mask,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask1.jpg
44,female,54,incorrect,10,/opt/ml/input/data/train/images/000069_female_Asian_54/incorrect_mask.jpg
45,female,54,mask,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask3.jpg
46,female,54,mask,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask5.jpg
47,female,54,mask,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask2.jpg
48,female,54,normal,16,/opt/ml/input/data/train/images/000069_female_Asian_54/normal.jpg
49,female,54,mask,4,/opt/ml/input/data/train/images/000069_female_Asian_54/mask4.jpg
50,female,48,mask,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask1.jpg
51,female,48,incorrect,10,/opt/ml/input/data/train/images/005513_female_Asian_48/incorrect_mask.jpg
52,female,48,mask,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask3.jpg
53,female,48,mask,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask5.jpg
54,female,48,mask,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask2.jpg
55,female,48,normal,16,/opt/ml/input/data/train/images/005513_female_Asian_48/normal.jpg
56,female,48,mask,4,/opt/ml/input/data/train/images/005513_female_Asian_48/mask4.jpg
57,female,19,mask,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask1.jpg
58,female,19,incorrect,9,/opt/ml/input/data/train/images/003079_female_Asian_19/incorrect_mask.jpg
59,female,19,mask,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask3.jpg
60,female,19,mask,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask5.jpg
61,female,19,mask,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask2.jpg
62,female,19,normal,15,/opt/ml/input/data/train/images/003079_female_Asian_19/normal.jpg
63,female,19,mask,3,/opt/ml/input/data/train/images/003079_female_Asian_19/mask4.jpg
64,female,25,mask,3,/opt/ml/input/data/train/images/001123_female_Asian_25/mask1.jpg
65,female,25,incorrect,9,/opt/ml/input/data/train/images/001123_female_Asian_25/incorrect_mask.jpg
